test_id,test_suite,test_name,test_type,feature_area,sub_feature,requirement_ids,function_names,result,execution_time_ms,timestamp,failure_reason,test_file_path,code_coverage_pct,priority,tags
TC_HANDOVER_001,Handover Tests,X2 Handover Success,protocol,Handover,X2,REQ_HANDOVER_001;REQ_HANDOVER_003,initiate_x2_handover;validate_handover_complete,PASS,245,2024-01-15T10:23:45Z,,tests/protocol/test_handover_x2.py,87.5,critical,x2;handover;protocol
TC_HANDOVER_002,Handover Tests,S1 Handover with Timeout,protocol,Handover,S1,REQ_HANDOVER_002;REQ_TIMEOUT_001,initiate_s1_handover;handle_timeout,FAIL,5200,2024-01-15T10:25:12Z,Handover timeout after 5000ms,tests/protocol/test_handover_s1.py,65.3,high,s1;handover;timeout;bug
TC_AUTH_001,Authentication Tests,User Login Success,integration,Authentication,UserAuth,REQ_AUTH_001;REQ_AUTH_003,authenticate_user;validate_credentials;generate_token,PASS,89,2024-01-15T11:05:33Z,,tests/integration/test_authentication.py,92.1,critical,auth;login;security
TC_AUTH_002,Authentication Tests,Invalid Password Handling,integration,Authentication,UserAuth,REQ_AUTH_004,authenticate_user;log_failed_attempt,PASS,42,2024-01-15T11:06:01Z,,tests/integration/test_authentication.py,88.7,high,auth;security;negative_test
TC_SIGNALING_001,RRC Signaling Tests,RRC Connection Establishment,protocol,RRC,Connection,REQ_RRC_001;REQ_RRC_002,initiate_rrc_connection;send_rrc_setup_request;process_rrc_setup_complete,PASS,178,2024-01-15T12:30:15Z,,tests/protocol/test_rrc_connection.py,91.2,critical,rrc;signaling;connection
TC_SIGNALING_002,RRC Signaling Tests,RRC Connection Release,protocol,RRC,Release,REQ_RRC_005,release_rrc_connection;cleanup_resources,PASS,56,2024-01-15T12:31:22Z,,tests/protocol/test_rrc_release.py,85.4,high,rrc;signaling;cleanup
TC_PERFORMANCE_001,Performance Tests,Throughput Under Load,performance,Throughput,Downlink,REQ_PERF_001,measure_throughput;calculate_average_speed,PASS,15230,2024-01-15T14:15:48Z,,tests/performance/test_throughput.py,78.9,medium,performance;throughput;load_test
TC_PERFORMANCE_002,Performance Tests,Latency Measurement,performance,Latency,RoundTrip,REQ_PERF_002;REQ_PERF_003,measure_rtt_latency;calculate_percentiles,ERROR,1250,2024-01-15T14:18:05Z,NullPointerException in percentile calculation,tests/performance/test_latency.py,45.2,high,performance;latency;bug
TC_SECURITY_001,Security Tests,SQL Injection Prevention,security,Security,InputValidation,REQ_SEC_001;REQ_SEC_005,sanitize_input;validate_query_params,PASS,95,2024-01-15T15:42:10Z,,tests/security/test_injection.py,94.3,critical,security;sql_injection;validation
TC_SECURITY_002,Security Tests,XSS Attack Prevention,security,Security,OutputEncoding,REQ_SEC_002,encode_html_output;sanitize_user_content,FAIL,67,2024-01-15T15:43:25Z,XSS vulnerability detected in user comments,tests/security/test_xss.py,72.1,critical,security;xss;bug;urgent
TC_MOBILITY_001,Mobility Management Tests,Cell Reselection,system,Mobility,CellReselection,REQ_MOB_001;REQ_MOB_002,trigger_cell_reselection;measure_signal_strength;update_serving_cell,PASS,523,2024-01-15T16:20:33Z,,tests/system/test_mobility.py,83.6,high,mobility;cell_reselection;system
TC_MOBILITY_002,Mobility Management Tests,Paging Response,system,Mobility,Paging,REQ_MOB_004,send_paging_message;handle_paging_response,SKIP,0,2024-01-15T16:22:00Z,Test environment not configured for paging,tests/system/test_paging.py,0.0,medium,mobility;paging;skipped
TC_DATA_001,Data Session Tests,PDN Connection Setup,integration,DataSession,PDN,REQ_DATA_001;REQ_DATA_002,establish_pdn_connection;configure_apn;allocate_ip_address,PASS,312,2024-01-15T17:05:17Z,,tests/integration/test_data_session.py,89.5,critical,data_session;pdn;connectivity
TC_DATA_002,Data Session Tests,Bearer Modification,integration,DataSession,Bearer,REQ_DATA_003,modify_bearer_qos;update_tunnel_endpoint,PASS,178,2024-01-15T17:06:45Z,,tests/integration/test_bearers.py,86.2,medium,data_session;bearer;qos
TC_REGRESSION_001,Regression Suite,Critical Path Regression,regression,Regression,FullStack,REQ_HANDOVER_001;REQ_AUTH_001;REQ_RRC_001,initiate_x2_handover;authenticate_user;initiate_rrc_connection,PASS,1850,2024-01-15T18:30:00Z,,tests/regression/test_critical_path.py,81.3,critical,regression;smoke_test;ci
